,Sample,PC1,PC2,Farm,Env_Site,Organism,Env,Site
80,2021_KF2A_2332,0.388304771,-0.111491213,KF-2,Swine_Nasal,Finishing_Nasal,Swine,Nasal
81,2021_KF2A_2334,-0.357835176,-0.114764372,KF-2,Swine_Fecal,Finishing_Fecal,Swine,Fecal
82,2021_KF2A_234,-0.350101627,-0.112832507,KF-2,Swine_Fecal,Lactating_Fecal,Swine,Fecal
83,2021_KF2A_242,0.395991865,-0.230444815,KF-2,Swine_Nasal,Lactating_Nasal,Swine,Nasal
84,2021_KF2E_211,0.154174648,-0.143405103,KF-2,Wastewater,Wastewater,Env,Wastewater
85,2021_KF2E_212B,0.189529491,-0.288879764,KF-2,Floor_Finishing,Floor_Finishing,Env,Floor
86,2021_KF2E_212P,0.313794023,-0.26338545,KF-2,Floor_Lactating,Floor_Lactating,Env,Floor
87,2021_KF2H_112,0.306556655,0.567657815,KF-1,Human_Nasal,Human_Nasal,Human,Nasal
88,2021_KF2H_212,0.287535436,0.616493245,KF-2,Human_Nasal,Human_Nasal,Human,Nasal
89,2021_KF2H_213,-0.185494032,0.117004194,KF-2,Human_Fecal,Human_Fecal,Human,Fecal
90,2021_KF2H_222,0.293874892,0.596747805,KF-2,Human_Nasal,Human_Nasal,Human,Nasal
91,2021_KF2H_224,-0.348566887,0.099252916,KF-2,Human_Fecal,Human_Fecal,Human,Fecal
